SessionID,StartTimestamp,EndTimestamp,UserID,SessionDuration
1,2023-05-01 10:00:00,2023-05-01 10:30:00,SCE45,30
2,2023-05-02 15:00:00,2023-05-02 15:45:00,SCE48,45
3,2023-05-03 09:30:00,2023-05-03 10:15:00,SCE37,45
4,2023-05-04 14:00:00,2023-05-04 14:30:00,SCE47,30
5,2023-05-05 11:30:00,2023-05-05 12:00:00,SCE53,30
6,2023-05-06 10:15:00,2023-05-06 10:45:00,SCE35,30
7,2023-05-07 13:45:00,2023-05-07 14:30:00,SCE36,45
8,2023-05-08 09:00:00,2023-05-08 09:30:00,SCE43,30
9,2023-05-09 12:30:00,2023-05-09 13:00:00,SCE51,30
10,2023-05-10 16:00:00,2023-05-10 16:30:00,SCE45,30
11,2023-05-11 11:30:00,2023-05-11 12:15:00,SCE48,45
12,2023-05-12 10:15:00,2023-05-12 10:45:00,SCE37,30
13,2023-05-13 13:30:00,2023-05-13 14:00:00,SCE47,30
14,2023-05-14 09:45:00,2023-05-14 10:15:00,SCE53,30
15,2023-05-15 11:15:00,2023-05-15 11:45:00,SCE35,30
16,2023-05-16 14:30:00,2023-05-16 15:00:00,SCE36,30
17,2023-05-17 10:30:00,2023-05-17 11:00:00,SCE43,30
18,2023-05-18 12:45:00,2023-05-18 13:30:00,SCE51,45
19,2023-05-19 11:00:00,2023-05-19 11:30:00,SCE45,30
20,2023-05-20 09:45:00,2023-05-20 10:15:00,SCE48,30
