Date,ActiveUsers,UserGrowthTrend,TotalSessions,AverageSessionDuration,BounceRate
2023-05-01,5,0%,20,35,10%
2023-05-02,6,20%,25,38,8%
2023-05-03,7,16.67%,22,37,9%
2023-05-04,8,14.29%,24,36,7%
2023-05-05,7,-12.5%,19,34,8%
2023-05-06,9,28.57%,27,40,6%
2023-05-07,8,-11.11%,23,36,7%
2023-05-08,10,25%,26,39,5%
2023-05-09,9,-10%,21,37,6%
2023-05-10,12,33.33%,30,42,4%
2023-05-11,11,-8.33%,25,40,5%
2023-05-12,14,27.27%,32,43,3%
2023-05-13,12,-14.29%,26,39,4%
2023-05-14,15,25%,33,44,3%
2023-05-15,13,-13.33%,27,40,4%
2023-05-16,17,30.77%,35,45,2%
2023-05-17,14,-17.65%,29,41,3%
2023-05-18,19,35.71%,37,46,2%
2023-05-19,16,-15.79%,31,42,3%
2023-05-20,20,25%,40,48,1%
2023-05-21,17,-15%,34,44,2%
2023-05-22,22,29.41%,43,49,1%
2023-05-23,19,-13.64%,37,45,2%
2023-05-24,24,26.32%,46,50,1%
2023-05-25,21,-12.5%,40,46,2%
2023-05-26,26,23.81%,49,51,1%
2023-05-27,23,-11.54%,43,47,2%
2023-05-28,28,21.74%,52,52,1%
2023-05-29,25,-10.71%,46,48,2%
2023-05-30,30,20%,55,53,1%
