Meeting ID,Attendee ID,Attendee Role/Title,Attendee Organization
MEET001,SCE37,Funding Instrument Provider,GrowthMinds & Co.
MEET002,SCE37,HNI,GrowthMinds & Co.
MEET003,SCE45,Stakeholder,LaunchHive
MEET004,SCE51,Founder,NextLeaps
MEET005,SCE53,Team,Mack & Chesse
MEET006,SCE43,Funding Instrument Provider,FlourishX
MEET007,SCE43,Team,FlourishX
MEET008,SCE53,Economic Director,Mack & Chesse
MEET009,SCE37,Investor,GrowthMinds & Co.
MEET010,SCE43,Economic Director,FlourishX
MEET011,SCE48,Founder,DurhamDigital
MEET012,SCE43,Investor,FlourishX
MEET013,SCE48,Founder,DurhamDigital
MEET014,SCE47,Funding Instrument Provider,CatalystIQ
MEET015,SCE48,Funding Instrument Provider,DurhamDigital
MEET016,SCE51,Economic Director,NextLeaps
MEET017,SCE53,Economic Director,Mack & Chesse
MEET018,SCE43,Economic Director,FlourishX
MEET019,SCE37,Funding Instrument Provider,GrowthMinds & Co.
MEET020,SCE43,Economic Director,FlourishX
MEET021,SCE47,Investor,CatalystIQ
MEET022,SCE48,Stakeholder,DurhamDigital
MEET023,SCE47,Founder,CatalystIQ
MEET024,SCE51,Economic Director,NextLeaps
MEET025,SCE43,Founder,FlourishX
MEET026,SCE53,HNI,Mack & Chesse
MEET027,SCE36,Economic Director,Ignition Labs
MEET028,SCE43,Funding Instrument Provider,FlourishX
MEET029,SCE47,Economic Director,CatalystIQ
MEET030,SCE47,Investor,CatalystIQ
