Authority,Status,SubmittedDate,DC_Approved_Date,Final_Approved_Date,Final_Plot_Area,GrossPlotArea,NetPlotArea,Case_Type,Description,Circle,Zone,OrganizationName,District,DesignationName,Lattitude,Longitude,Usage,SubUsage,MaxBuildingHeight,Height,BuiltUpArea,MotagageArea,Units,Postcode
HMDA,Final Approved,1/1/2023,-2023.0,21/3/2023,3479.38,3479.38,3479.38,New,Occupancy Certificate,,Zone-4 Shankerpally,Narsingi,Ranga Reddy,Planning Ofcr,17.381934,78.36376,Residential,,17.95,0.0,10234.4,0.0,0.0,500008
DTCP,Reject,1/1/2023,-1900.0,-,399.08,399.08,399.08,New,Building Permission,,,GWMC,Warangal(Urban),Commissioner,17.9772901,79.58852442,RESIDENTIAL,Residential Bldg/Apartment,14.8,17.8,1438.07,118.69,10.0,506005
DTCP,Final Approved,3/1/2022,-2022.0,16/4/2022,316.03,316.03,316.03,New,Building Permission,,,Kamareddy,Kamareddy,Municipality Commissioner,18.32263815,78.3327091,RESIDENTIAL,Residential Bldg/Apartment,11.95,15.0,927.17,74.2,3.0,503100
DTCP,Final Approved,21/5/2021,-2021.0,18/1/2022,3034.91,3034.91,3034.91,New,Building Permission,,,Yellareddy,Kamareddy,Commissioner,18.18144851,78.02275883,COMMERCIAL,Rations Shops (including Storage and Sale of Kerosene not exceeding 1000 liters),9.6,9.6,656.61,65.98,0.0,503122
DTCP,Final Approved,3/1/2022,-2022.0,21/3/2022,395.23,395.23,395.23,New,Building Permission,,,GWMC,Warangal(Urban),City Planner,17.99167938,79.53101437,RESIDENTIAL,Residential Bldg/Apartment,14.99,17.89,1376.38,115.3,10.0,506009
DTCP,DC Approved,21/5/2021,-2021.0,-,605.03,691.06,605.03,New,Building Permission,,,KHAMMAM MUNICIPAL CORPORATION,Khammam,Architect,17.230106,80.130546,COMMERCIAL,Petrol Pump,3.45,3.45,48.35,0.0,0.0,507003
DTCP,Final Approved,2/1/2023,-2023.0,23/2/2023,4922.8,5189.64,4922.8,Addition/Alteration,Building Permission,,,Nizamabad,Nizamabad,Commissioner,18.666432,78.106384,COMMERCIAL,Retail Shop,10.66,10.66,2347.99,235.93,0.0,503001
DTCP,Reject,21/5/2021,-1900.0,-,778.72,778.79,778.72,New,Building Permission,,,Narsingi,Rangareddy,Commissioner,17.3768548,78.359859,RESIDENTIAL,Residential  buildings  for  essential  staff ,6.6,9.6,1216.04,76.89,1.0,500008
DTCP,Final Approved,3/1/2022,-2022.0,8/2/2022,549.25,549.25,549.25,New,Building Permission,,,Bandlaguda Jagir Municipal Corporation,Rangareddy,Commissioner,17.35406228,78.39441863,RESIDENTIAL,Residential Bldg/Apartment,15.0,17.9,1657.83,139.78,8.0,500093
DTCP,DC Approved,3/1/2022,-2023.0,-,108.71,196.66,108.71,New,Building Permission,,,Sircilla,Rajanna-Sircilla,Architect,18.38848546,78.80633044,COMMERCIAL,Shop,9.0,11.9,158.14,13.49,0.0,505301
