Unique_Namecodes,DeviceName
VW BT 5689,Car
BCM20702B0 Generic USB Detuned,Other
ASUS_Z00AD,Smartphone
HUAWEI Mate 20 lite,Smartphone
Cate,Other
Redmi Note 9,Smartphone
HUAWEI Y5 2018,Smartphone
DESKTOP-14C81QR,Desktop PC
TV UE55JS8000,TV
B210_73085471,Other
Scd327d63134223a8C,Other
TV Samsung 7 Series (55),TV
DAB-Carkit,Car
HITACHI TV,TV
VW BT 5494,Car
HUAWEI P10 lite,Smartphone
B210_73133469,Other
TIM_BOX,Other
PEUGEOT,Car
TVSamsung LED40,TV
EGSCREENING13,Other
KIA MOTORS,Car
HUAWEI P30 lite,Smartphone
MEIZU M6 Note,Smartphone
HUAWEI P10,Smartphone
HUAWEI P20 lite,Smartphone
Geberit DFr,Other
AB1530BLE,Other
HUAWEI P smart 2019,Smartphone
Miguel,Other
Sandro,Other
Marcelo,Other
Mi Smart Band 4,Wearable (Fitness Tracker)
Galaxy Watch (873E) LE,Wearable (Fitness Tracker)
OPPO Reno2 Z,Smartphone
OPPO A91,Smartphone
LE-Bose SoundSport,Bluetooth Headphones
S5611,Other
Honor 7S,Smartphone
DP_2_0_TOVJX153039,Other
Radio BT,Car
FY-Android,Other
Galaxy Fit2 (89EC),Wearable (Fitness Tracker)
shuguo2007,Other
HUAWEI P8 lite 2017,Smartphone
HUAWEI Y5 2019,Smartphone
Marcella,Other
CARe,Other
S5 Pro,Smartphone
Redmi,Smartphone
S2233440f5d148b5dC,Other
Max,Other
BV5900,Smartphone
Parrot CK3100,Car
OPPO A5 2020,Smartphone
BRC1H B226AA,Other
Sala riunioni,Other
BEPPEI7,Other
Descent Mk1,Other
ID115Plus HR,Wearable (Fitness Tracker)
B210_73168984,Other
Sabina,Other
HUAWEI P40 lite E,Smartphone
Nokia108,Smartphone
HUAWEI P smart+ 2019,Smartphone
HONOR 20 Lite,Smartphone
AnghuiBT iPlug,Other
HUAWEI Mate 10 lite,Smartphone
OPPO A9 2020,Smartphone
E43493197257,Other
CASSA077,Other
MEDIA-NAV,Car
Honor 6C Pro,Smartphone
Redmi 9,Smartphone
Nokia 208,Smartphone
DP_2_1_TOGKY095518,Other
NAO+_0100,Other
MVH-X370BT  ,Car
C3590,Other
ID205L,Wearable (Fitness Tracker)
CAR BT,Car
MASTERCRI,Other
LE-reserved_t,Other
